sample,dominant,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
C1d-C42.2-C1-C1b,C1d,19,-0.165464922,0.001176206,0.088920943,0.015151653,-0.00974577,0.003743983,0.000756479,-0.000298276,-0.00099787,-0.001241642,0.000737318,-0.000441009,0.000282674,0.000147556,2.49E-05,-9.75E-06,-2.96E-05,9.34E-06,-8.09E-07,1.97E-06,-1.56E-05,4.77E-06,1.43E-06,3.35E-06,-0.00023903,-9.82E-09,0,0,0,0,0,0,0,0,0,0,0
C1,C1,40,-0.118569264,0.001504252,0.037547965,0.005570847,-0.003015213,0.00077667,-0.002507812,-0.003765386,-0.004123175,-0.006246162,-0.005115641,-0.003147862,-0.002416248,0.002786569,-0.002518926,-0.000272753,-0.00115091,0.001352557,-3.55E-05,9.40E-05,-0.000545187,0.000128101,3.15E-05,6.54E-05,6.51E-05,-3.89E-08,0,0,0,0,0,0,0,0,0,0,0
C1d,C1d,50,-0.183015967,0.001053489,0.108143661,0.018741655,-0.012264988,0.004850464,0.001979031,0.001004277,0.000176473,0.000636412,0.002932707,0.000578269,0.001295948,-0.000849019,0.000985416,9.00E-05,0.00039578,-0.000503925,1.25E-05,-3.37E-05,0.00019013,-4.48E-05,-1.12E-05,-2.34E-05,0.000173915,2.91E-08,0,0,0,0,0,0,0,0,0,0,0
C15-C116,C15,20,0.096765896,-0.010874198,0.00314275,0.002604496,-0.002390886,-0.001160952,-0.005024724,2.50E-05,0.000996087,-0.001584597,0.000105462,-0.001053054,-0.001675397,-0.002151892,0.002582673,3.99E-05,0.001814744,-0.000837253,4.25E-05,0.000265168,0.001522042,-0.000588003,-0.000250592,-0.000485227,-7.72E-07,-3.14E-06,0,0,0,0,0,0,0,0,0,0,0
C15-53184,C15,25,0.097195567,-0.015551049,0.003063572,0.002356435,-0.003503418,-0.001797931,-0.0014314,-0.002486926,-0.001006831,-0.000957369,-0.00015504,0.001281698,0.001884507,0.000814732,-0.000329634,-0.000168573,-0.003193041,0.001284385,-0.004214409,-0.000956001,0.002053416,-0.00015394,1.44E-05,-9.35E-06,4.52E-08,2.84E-08,0,0,0,0,0,0,0,0,0,0,0
C15-53109-C15n-C15l-C15bb,C15,26,0.098585166,-0.016399527,0.003019607,0.002241101,-0.003870157,-0.002002136,1.54E-05,-0.003383565,-0.001470701,-0.000879183,-0.000256417,0.002388313,0.003618562,0.003412279,-0.005258321,0.000343177,0.004189949,-0.000662209,3.03E-05,-2.42E-05,0.000529045,-0.000249671,-0.001342322,0.000592647,1.66E-08,1.11E-08,0,0,0,0,0,0,0,0,0,0,0
C15-53222,C15,27,0.094317606,-0.013830679,0.003169938,0.002619885,-0.002766074,-0.001388735,-0.004482875,-0.000715677,-0.000130188,-0.001224644,-2.44E-06,-0.000108891,-0.00010133,-0.000917393,0.001582685,-5.06E-05,-0.000296315,-0.000327052,-3.34E-05,0.000305961,-0.000907619,0.000719592,0.000362768,0.001101553,2.16E-07,1.38E-06,0,0,0,0,0,0,0,0,0,0,0
C15-C15l-C15n-C15bb-C15.8,C15,28,0.097461664,-0.015723475,0.003059003,0.002340772,-0.003578578,-0.001840147,-0.001169807,-0.00267882,-0.001115941,-0.000969525,-0.000188455,0.001713794,0.00260942,0.002205576,-0.003314626,0.00022432,0.002802414,-0.000539449,1.04E-05,8.00E-05,-1.40E-05,0.000298119,0.001929334,-0.000802963,2.15E-08,1.27E-08,0,0,0,0,0,0,0,0,0,0,0
C15-C15by,C15,29,0.095681947,-0.014646638,0.003118866,0.002495639,-0.003111242,-0.00158053,-0.003041926,-0.001548692,-0.000538085,-0.00109238,-7.17E-05,0.000510259,0.000773455,-0.000178272,0.00076115,-7.96E-05,-0.001036678,3.86E-05,-4.50E-05,0.00023507,-0.001540537,0.001803914,-0.001045803,-0.001304828,9.34E-08,5.51E-08,0,0,0,0,0,0,0,0,0,0,0
C15-53225,C15,30,0.096089929,-0.0148912,0.003103885,0.00245885,-0.003215031,-0.001638201,-0.002611954,-0.001799067,-0.000661341,-0.001055056,-9.31E-05,0.00070441,0.001050283,5.65E-05,0.000507905,-9.34E-05,-0.001362586,0.000187274,-5.53E-05,0.000234937,-0.002482669,-0.002533775,-0.000105544,-0.000306207,7.20E-08,4.33E-08,0,0,0,0,0,0,0,0,0,0,0
C15/C15cp,C15,38,0.097236122,-0.015579392,0.003062474,0.00235605,-0.003508851,-0.001801454,-0.001402766,-0.002508813,-0.001013962,-0.000954108,-0.000156657,0.001299162,0.001911266,0.000842549,-0.000362912,-0.000172035,-0.003290645,0.001367997,0.00430585,-0.000579686,0.001950431,-0.000144442,1.58E-05,-4.74E-06,4.39E-08,2.66E-08,0,0,0,0,0,0,0,0,0,0,0
C15,C15,48,0.094317864,-0.01383101,0.003169931,0.002619948,-0.002765961,-0.001388685,-0.004483003,-0.000715643,-0.000130183,-0.001224646,-2.44E-06,-0.00010888,-0.000101311,-0.000917379,0.001582688,-5.06E-05,-0.000296496,-0.000326971,-3.31E-05,0.000305932,-0.000907651,0.000719378,0.000362544,0.001101131,2.20E-07,1.39E-06,0,0,0,0,0,0,0,0,0,0,0
C116-1523,C116,37,0.135270709,0.018747861,0.003544083,0.001981835,-0.01154988,-0.006576731,0.002108422,-0.010511924,-0.020143535,0.014706525,0.001975342,-0.006381899,-0.008406524,-0.002474927,0.001381248,8.40E-05,0.001674572,-0.000288462,3.23E-05,-2.46E-05,0.000649285,-0.000176758,-5.12E-05,-0.00010625,-9.27E-10,-9.24E-10,0,0,0,0,0,0,0,0,0,0,0
C116,C116,44,0.129367398,0.01860485,0.00354405,0.002241333,-0.009410087,-0.005323635,-0.001928441,-0.006275102,-0.011798122,0.006638744,0.00058501,-0.000955902,-0.000658993,0.000459008,-0.00025349,-5.45E-05,-0.001135902,0.000176993,-3.14E-05,3.49E-05,-0.000730553,0.000240677,8.18E-05,0.000167689,5.95E-08,2.21E-07,0,0,0,0,0,0,0,0,0,0,0
C15h,C15h,43,0.120906021,-0.030765034,0.001912129,0.001169921,0.00779771,0.006276031,0.062702458,0.01619264,-0.013997095,-0.004361551,-0.001570243,0.003236735,0.002041311,3.01E-05,0.000144275,-4.99E-05,-0.000342166,0.000106766,-1.31E-05,0.000109935,-0.000167957,5.07E-05,1.55E-05,3.16E-05,-4.78E-08,-4.34E-08,0,0,0,0,0,0,0,0,0,0,0
C116a,C116a,96,0.199627761,0.092534737,0.003465778,0.001533383,-0.010746441,-0.00602004,-0.006622541,-6.15E-05,0.00062354,-0.00232361,-0.000465284,0.001550226,0.002072494,0.000570108,-0.000313153,-1.41E-05,-0.000283854,4.85E-05,-4.26E-06,8.75E-07,-7.74E-05,1.66E-05,4.00E-06,7.16E-06,-2.18E-09,-1.09E-08,0,0,0,0,0,0,0,0,0,0,0
C27,C27,46,-0.140145612,0.000723129,-0.041718589,-0.007578935,0.054118907,-0.088170291,0.003349801,-0.008063302,-0.005005957,-0.004319957,-0.000603074,-0.00114923,0.000376516,0.000357414,8.11E-05,-4.95E-06,-4.28E-05,-4.95E-05,-1.45E-07,-1.15E-06,-7.18E-06,2.18E-06,6.24E-07,1.31E-06,-2.35E-09,-4.46E-08,0,0,0,0,0,0,0,0,0,0,0
15273,15273,47,0.199627681,0.092531654,0.00346601,0.001533339,-0.010750074,-0.006022216,-0.006619427,-6.64E-05,0.000615122,-0.002319673,-0.000465574,0.001554076,0.002079175,0.000575898,-0.000318067,-1.44E-05,-0.00029328,5.09E-05,-4.60E-06,9.65E-07,-8.79E-05,2.21E-05,6.58E-06,1.38E-05,2.44E-09,1.12E-08,0,0,0,0,0,0,0,0,0,0,0
15324,15324,49,0.120874378,-0.030997713,0.00237868,0.000253152,-0.011349142,-0.006248317,0.032454957,-0.037948249,0.031647014,-0.00122988,0.000436291,-0.00214838,-0.002562763,-0.000919227,0.00074762,1.34E-05,0.000313117,-0.00012366,1.78E-06,2.49E-05,2.30E-05,1.08E-05,8.22E-06,1.58E-05,4.97E-09,2.86E-09,0,0,0,0,0,0,0,0,0,0,0
32439,32439,51,-0.009789218,-0.030364994,-0.014358351,-0.065667662,-0.06661774,-0.03212829,-0.002256205,0.039342568,0.009837626,-0.002526172,-0.00084661,-0.0022024,-0.002346966,-0.000464406,0.000292783,1.85E-05,0.00034705,-5.78E-05,6.35E-06,-1.43E-05,0.000104257,-2.34E-05,-5.27E-06,-1.10E-05,1.30E-08,1.31E-08,0,0,0,0,0,0,0,0,0,0,0
C15bi,C15bi,53,0.181997803,-0.126472816,0.000787565,0.024076458,0.036341576,0.016034237,-0.047664159,0.011700646,0.002264123,-0.000360621,0.000111588,-0.000616681,-0.000751239,-0.000301611,0.000255214,4.00E-06,0.000100124,-4.18E-05,2.19E-07,9.02E-06,5.93E-06,4.29E-06,2.95E-06,5.79E-06,1.65E-09,1.00E-09,0,0,0,0,0,0,0,0,0,0,0
proportion_explained,proportion,0,0.755834162,0.076796939,0.054117858,0.033742688,0.024803301,0.022686682,0.015196383,0.007827818,0.003542927,0.00203729,0.001110347,0.000698606,0.000605372,0.000287409,0.000212481,0.000126286,0.000110943,8.26E-05,5.54E-05,5.25E-05,3.55E-05,1.74E-05,1.06E-05,8.39E-06,1.40E-07,2.96E-08,0,0,0,0,0,0,0,0,0,0,0
