d you,dominant,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
D1-D4c-D4,D1,70,0.008765693,-0.005781049,-0.000806451,0.004621225,0.007323825,0.006058557,0.002894206,0.000140241,0.001951095,0.004092263,3.36E-06,0.003108079,-0.00235713,-0.000189494,-0.000279457,0.001942887,-0.000897497,-0.001105798,4.43E-05,-0.000354749,-0.000695668,-0.000352242,8.47E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1-D4-D4c-1969-15269-2340-1423,D1,71,0.002692104,-0.003099285,-0.000669339,0.003790859,0.012438707,0.01240267,0.002293675,0.000720179,-4.30E-06,-0.005955008,-0.002290715,0.000448821,-0.000267026,-0.004408983,-0.001092364,0.002664091,0.000296,-0.001231038,0.000514765,0.000924379,-0.000234957,0.00014741,5.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1-D4-D4c-D1l-D3b,D1,72,0.0050292,-0.003337298,-0.001262521,0.004760436,0.007356513,0.007209415,0.003200397,7.52E-06,0.000339844,-0.000754963,0.00149573,-0.000465379,0.000891744,0.001374982,0.000468031,-0.000708122,-0.001631313,-0.000430025,-0.000349958,-0.000860314,0.002403097,-0.000324172,-0.000129359,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1-D4-D4c-D3b-D1l-2960-D4f,D1,73,0.003215976,-0.003459617,-0.000563831,0.004385348,0.012235708,0.011992675,0.005387093,-0.000344345,0.000901478,-0.002672638,0.003569932,-0.00070902,0.001691733,0.001429329,0.000349133,-0.003297576,-0.002197431,0.000882187,-0.000406745,0.001287505,-0.0004549,0.000682448,0.000115262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1-D2d,D1,74,0.013423056,-0.005998509,-0.002341259,0.0047291,-0.006132363,-0.004701834,-0.001127379,0.00157337,-0.001131679,0.001139908,-0.000439946,0.000950554,0.000191078,0.000238994,0.000343129,0.000393533,-0.000236015,0.000422455,-4.15E-05,-0.000454869,-1.50E-05,0.000614303,4.95E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1-D2d-D1ae-5668-D1z,D1,75,0.01259998,-0.011173732,0.00914418,0.002605288,-0.004841257,-0.003421548,-0.002569822,-0.00208868,0.006579298,-0.000338719,-4.73E-05,-0.002148365,-0.001678357,-0.000321267,-0.006094335,-0.00201585,0.000198161,-0.000784808,0.00069335,-0.000360295,0.000113908,-1.69E-05,1.63E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1/D2d-D1aa-D1z,D1/D2d,76,0.012045498,-0.018440289,0.02753415,-0.000938512,-0.005622898,-0.000528003,-0.002993787,-0.003803369,0.007077559,-0.000903579,0.000175569,-0.003050188,-0.002584522,0.000550066,0.001932004,0.002056324,-0.000461462,0.002404162,-0.000665584,0.000272355,-4.61E-05,0.000343226,2.24E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1/D6-D1h-D4-D2d-D1ad-32430_D,D1/D6,77,-0.018955552,0.011568185,-0.004756109,-0.015132898,0.007942218,0.011664681,-0.003669727,0.001143313,0.002778117,0.00677804,0.002497758,0.003912084,-0.003805797,-0.002127911,0.000932281,-0.00153577,0.001195152,0.000397879,-8.50E-06,8.33E-05,3.61E-05,-9.32E-05,-1.07E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1-D2d-1983,D1,78,0.01309345,-0.006569553,-0.001650687,0.004545796,-0.005036729,-0.004633454,-0.001179484,0.001199144,-0.000920614,0.001011044,-0.000378109,0.001295137,0.000369091,-0.000309128,-0.000602329,0.000473409,-0.001600887,0.001667976,0.000292702,0.001775391,1.91E-05,-0.001768958,-0.000142939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1-D4-D5-D4c,D1,79,-0.005018774,0.003568855,-0.0025828,0.004378527,0.004908119,0.008390159,-0.000516874,-0.002173867,-0.001264321,0.003918979,-0.00524275,-0.00278416,0.001289164,0.002668464,0.000518652,7.36E-05,-0.000398562,-0.000210232,0.0017726,-0.000119495,0.000125961,0.000109382,-3.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1-D2d-D1n,D1,80,0.012818088,-0.006544134,-0.001568283,0.003939804,-0.004988078,-0.005065952,0.00046819,-0.005749323,-0.003619042,0.000526488,0.000201556,0.00095943,-0.000626428,-0.003068958,-0.000608806,9.81E-05,-0.001090064,0.000602754,0.000244636,0.000109757,0.000330043,0.000298989,3.53E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1/D2d-32481_D-D1y-32482_D,D1/D2d,81,0.012087304,-0.017808959,0.02615652,-0.000785838,-0.005586443,-0.000454418,-0.002371804,-0.002720926,0.002552294,0.000650103,-0.001057078,0.00519507,0.006640456,-0.000275133,0.000182492,-0.00102289,0.00132972,-0.001375503,-0.000443706,5.56E-05,-9.38E-05,-8.43E-05,-4.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1-D4-D2d-D5-D4c,D1,82,-0.000687772,0.001163588,-0.002354163,0.004807428,0.003179334,0.004969283,-0.000330134,-0.000834032,-0.002164026,0.001757918,-0.003391841,-0.003042431,0.001104425,0.001670832,-8.03E-05,-0.000670227,0.00324312,0.000958767,-0.001057989,0.000470269,0.000410325,-0.000611769,0.000260075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1-D1aa-D2d-D2e-D1ah-D1ag,D1,83,0.010031225,-0.032562575,0.06344515,-0.009136595,-0.006627536,0.004279233,0.002722542,0.003200722,-0.005446595,0.00059691,0.000106593,2.66E-05,-0.00091838,0.000131839,-6.89E-05,-1.29E-05,-0.000356888,-2.31E-05,0.000353298,-0.00013528,5.68E-05,-3.72E-05,1.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1/D2d-D4,D1/D2d,84,0.009555781,-0.003721089,-0.002483058,0.005267957,-0.003286572,-0.004770413,-0.001155937,0.001442844,-0.001179941,-0.000199876,0.000453176,-0.000133259,-0.000458074,-0.000683424,0.001727116,-0.00068552,-0.000892983,-0.002337702,2.59E-05,0.000874316,-0.000283701,0.000196119,0.00010401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1-D2d-D4-D1aa,D1,85,0.008593402,-0.007349392,0.007521856,0.003116787,-0.002483682,-0.002363367,-0.001104417,0.000383829,0.000927234,-0.00216813,0.001371019,-0.004223763,-0.003109213,0.000513385,0.002947588,-0.000777906,0.000992376,-0.002929639,4.57E-05,-0.000122214,-9.35E-05,-0.000559562,-9.01E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1-D4-D6-D2.2-1504,D1,86,-0.026730067,0.01678074,-0.004930566,-0.0157272,-0.003518157,-0.004333712,0.006743069,-0.01486241,-0.003743748,-0.000595638,0.000506347,-0.000359153,-0.000662026,-0.001513932,0.000103884,-9.20E-05,0.00020483,-0.000208151,-2.08E-05,-7.09E-05,-7.55E-06,-4.89E-05,-1.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1-D6-D4,D1,87,-0.010948047,0.008473575,-0.004275537,-0.005386781,-0.003304296,-0.002089174,-0.003265808,-0.000287529,7.63E-05,0.001353122,0.000159455,0.001089687,-0.001016064,-0.000848976,0.000947848,-0.000769054,0.000150885,0.000322747,0.000988602,0.000116643,0.000783846,0.000336193,2.42E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,D1,88,0.013434862,-0.006005569,-0.002345708,0.004729429,-0.006126721,-0.004701278,-0.001119616,0.001579298,-0.001135791,0.001130404,-0.000431617,0.000953514,0.000196037,0.000240782,0.000324013,0.000391062,-0.000230988,0.000419411,-3.89E-05,-0.000484206,-2.41E-05,0.000611292,-2.91E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D2d,D2d,95,0.013415361,-0.005994213,-0.002345054,0.004764962,-0.006146518,-0.004713559,-0.001126629,0.001582764,-0.001125585,0.001147101,-0.000426373,0.000983309,0.00016787,0.000211343,0.000337801,0.000388449,-0.000258768,0.000425419,-4.30E-05,-0.000442344,-2.21E-05,0.000626428,0.000140883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4601,4601,89,-0.056653088,0.030464944,0.004033999,0.055974991,-0.007500931,-0.000910472,-0.003869775,-0.000148991,-0.000624442,5.53E-05,0.000877562,0.000509946,-0.000430479,-0.000995362,2.23E-05,-0.000174837,-4.85E-05,0.000133571,-3.97E-05,-0.000127459,3.52E-05,-1.73E-05,-3.50E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2952,2952,90,0.128020778,0.055272019,-0.014891531,0.001129376,-0.005402104,-2.20E-06,8.42E-05,0.000291128,-0.000113074,6.53E-05,-2.46E-05,-7.84E-05,-3.64E-05,0.000118874,0.000106547,7.26E-07,8.27E-05,-4.95E-05,-8.88E-06,-2.81E-05,-5.29E-07,-2.14E-06,-2.71E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32590,32590,91,0.003608815,-0.091714042,-0.049490179,0.001243268,-0.008771444,0.000257595,0.000156495,0.000425976,-0.000163703,9.17E-05,-3.56E-05,-0.000123004,-5.50E-05,0.000177585,0.000159572,9.32E-07,0.00012464,-7.46E-05,-1.31E-05,-4.20E-05,-7.77E-07,-3.43E-06,-4.05E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
proportion_explained,,0,0.415419469,0.262810551,0.13387534,0.079252808,0.04145729,0.028082304,0.011630921,0.006382758,0.004099707,0.003803831,0.002763986,0.002377936,0.00201837,0.001925451,0.00106827,0.00083393,0.000700855,0.000556305,0.000362515,0.000239152,0.000213321,0.0001171,7.83E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
