ITS2 type profile	Sample	SampleID	Species	Site	Reads	53416	C66/C3/C91	C15	C15	C15h	C40	C3/C21/15180_C	C15	C15	C21	C15	C116	C15/C15cp	C21	C3/15176_C	C1d	C15	C21/C3	C21/C3	C21/C116a	C27	C15	C1d	C15	C40	C3	C116	C116a	C40/C3	C3/15298_C	C3/C21	C15h	32439	C1	C15bi	C3	15273	15324	D1	D1/D2d	D1/D6	D1	D1	D1/D4/D2.2	D1	D1	D1/D6	D1	D1	D1/D2d	D1	D1	D1	D1	D1	D1	D1	D1/D2d	D1/D6	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D2d	D1	D1	4601	2952	32590	G3a	15431	G3l
427	MA_09	MA_Plutea_9	Porites lutea	Madang	112189	0	0	0	0	0	0	0	0	0	0	0	0	111684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	KV-13	KV_Pachyseries_13	Pachyseris speciosa	Kavieng	111298	0	0	0	0	30964	0	0	0	0	0	0	0	0	0	0	0	0	0	2655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
282	KV-19	KV_Pachyseries_19	Pachyseris speciosa	Kavieng	109941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	Rab_14	RA_Diplo_14	Diploastrea heliopora	Rabaul	109746	0	0	0	0	0	43596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
273	Pom-04	MO_Pachyseries_4	Pachyseris speciosa	Motupore Island	106111	0	0	0	0	0	0	0	0	0	106111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
392	MI_07	MI_Pacuta_7	Pocillopora acuta	Milne Bay	98711	0	5212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183	Rab-06	RA_Pachyseries_6	Pachyseris speciosa	Rabaul	97264	0	0	0	0	0	0	82667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	KB-14	KB_Pachyseries_14	Pachyseris speciosa	Kimbe Bay	95583	0	0	0	0	15692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
226	KB-06	KB_Pachyseries_6	Pachyseris speciosa	Kimbe Bay	94758	0	0	0	0	0	92633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2125	0	0	0	0	0	0	0	0	0	0	0	0	0	0
276	Pom-03	MO_Pachyseries_3	Pachyseris speciosa	Motupore Island	92900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
365	Pom_02	MO_Pacuta_2	Pocillopora acuta	Motupore Island	88928	0	3436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
405	MI_14	MI_Pacuta_14	Pocillopora acuta	Milne Bay	86699	0	2209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147	Rab_17	RA_Diplo_17	Diploastrea heliopora	Rabaul	85091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	Rab-19	RA_Pachyseries_19	Pachyseris speciosa	Rabaul	84895	0	0	0	0	0	62644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227	MI-02	MI_Pachyseries_2	Pachyseris speciosa	Milne Bay	84600	0	0	0	0	0	0	84600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
313	MI_18	MI_Pacuta_18	Pocillopora acuta	Milne Bay	83666	0	2210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322	Pom_01	MO_Pacuta_1	Pocillopora acuta	Motupore Island	82566	0	7515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
207	Rab-12	RA_Pachyseries_12	Pachyseris speciosa	Rabaul	82243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
